agency,description,name,price
Exp Realty,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '2,660'}",2502 E Goldenrod Street Vintage Hills Lot 44-101,"$709,000"
Momentum Brokers Llc,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '3,800'}",3090 W Tepee Street S18 T1n R8e,"$2,000,000"
Realty Executives,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '1,822'}",4266 E Agave Road Mountain Park Ranch Unit 17 Lot 1-226 Tr A-M,"$445,000"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '3,895'}",5380 E 12th Avenue S25 T1n R8e,"$1,249,999"
Keller Williams Realty Sonoran Living,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,894'}",1742 E Cathedral Rock Drive Cabrillo Canyon At The Foothills 1,"$1,149,000"
RE/MAX Excalibur,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,650'}",522 N Sun Road Arroyo Vista Estates,"$1,149,134"
Home Base Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,650'}",1332 E Wildwood Drive Augusta At The Foothills,"$499,900"
RE/MAX Excalibur,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,550'}",602 N Sun Road Arroyo Vista Estates,"$1,113,000"
Homesmart,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,530'}",3863 E Southern Avenue S35 T1n R8e,"$1,075,000"
RE/MAX Excalibur,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,450'}",642 N Sun Road Arroyo Vista Estates,"$995,000"
Lost Dutchman Realty,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,469'}",5581 E Superstition Boulevard S24 T1n R8e,"$995,000"
RE/MAX Excalibur,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,201'}",562 N Sun Road Arroyo Vista Estates,"$970,952"
RE/MAX Excalibur,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,250'}",762 N Sun Road Arroyo Vista Estates,"$899,000"
Realty One Group Integrity,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,064'}",5729 E 14th Avenue S25 T1n R8e,"$875,000"
RE/MAX Solutions,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,665'}",1084 N Acacia Road S15 T1n R8e,"$860,000"
Arizado Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,418'}","16440 S Osage Trl J - Six Ranchettes Unit No. 7 (205-221, 237-423)","$325,000"
Long Realty-Benson,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,355'}",15680 S Empire Rd  ,"$450,000"
Keller Williams Southern Arizona,"{'Beds': '3', 'Baths': '1', 'Sq.Ft.': '1,140'}",446 E Mark St  ,"$79,000"
Dipeso Realty,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,345'}",1615 N Cascabel Rd  ,"$540,000"
"Haymore Real Estate, Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,296'}",323 E Silverwood Ln Other/Unknown,"$259,900"
"Haymore Real Estate, Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,947'}",490 E El Sol Dr Other/Unknown,"$299,900"
"Haymore Real Estate, Llc","{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '720'}",3186 W Rice Rd Mescal Lakes,"$85,000"
"Haymore Real Estate, Llc","{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,110'}",1584 S Desert Senna Trl Benson,"$385,900"
"Haymore Real Estate, Llc","{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,245'}",Address Withheld Other/Unknown,"$415,000"
Keller Williams Southern Arizona,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '1,440'}",623 E Pearl St Other/Unknown,"$325,000"
