agency,description,name,price
Keller Williams Realty Phoenix,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,905'}",26206 S Greencastle Drive Sun Lakes 17,"$589,000"
Retsy,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '8,704'}",8015 N 74th Place Paradise Valley Farms,"$12,500,000"
,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,997'}",10019 E Nacoma Court Sun Lakes Unit 30 (Oakwood),"$589,000"
The Agency,"{'Beds': '5', 'Baths': '11', 'Sq.Ft.': '5,950'}",8185 E Alameda Road Tbd,"$12,000,000"
Hague Partners,"{'Beds': '11', 'Baths': '12', 'Sq.Ft.': '20,211'}",9333 E Happy Valley Road W2 E2 N2 Nw4 Ne4 Ex N 55F,"$12,000,000"
Hague Partners,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,392'}",1333 E Copper Hollow Encanterra,"$1,034,500"
"Real Broker Az, Llc","{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,068'}",11253 W Golddust Drive Santo Vallarta,"$3,000,000"
Realty One Group,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,823'}",26661 S Brentwood Drive Sun Lakes Unit 15,"$589,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '5', 'Baths': '7', 'Sq.Ft.': '8,470'}",22805 N Church Road Pinnacle Peak Heights,"$11,500,000"
Retsy,"{'Beds': '4', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '7,100'}",10110 E Siesta Lane Silverleaf,"$10,000,000"
"Cactus Mountain Properties, Llc","{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '2,969'}",315 W Weld Street Whitewing At San Tan Magma,"$999,000"
Keller Williams Integrity First,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,332'}",25609 S Nottingham Drive Sun Lakes 25 Lot 1-162 Tr A-E,"$585,000"
Jamal Abdallah,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,668'}",10915 E Chestnut Drive Sun Lakes 24 Lot 1-160 Tr A-C,"$585,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '5', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '7,945'}",9108 E Grapevine Pass Pass Desert Mountain,"$10,000,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '5', 'Baths': '7', 'Sq.Ft.': '7,718'}",9204 E Grapevine Pass Desert Mountain,"$9,996,000"
Century 21 Arizona Foothills,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,703'}",27964 N Cindy Lane N/A,"$959,900"
Homesmart,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,039'}",30046 N Varnum Road San Tan Ranches Unit 2,"$950,000"
"Balboa Realty, Llc","{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,774'}",9604 E Nacoma Drive Sun Lakes Unit 46A,"$585,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '8,251'}",38300 N 102nd Street Desert Mountain,"$9,950,000"
Arizona Best Real Estate,"{'Beds': '6', 'Baths': '7 F 1 1/2', 'Sq.Ft.': '8,299'}",26446 N 119th Street Cantabrica,"$9,750,000"
Corvelo Real Estate,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,016'}",273 W Dundy Street Whitewing At San Tan Magma,"$915,000"
Keller Williams Integrity First,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '2,907'}",757 W Magma Road Bonanza Highlands,"$899,900"
Silverleaf Realty,"{'Beds': '7', 'Baths': '8 F 1 1/2', 'Sq.Ft.': '10,204'}",24546 N 91st Street Prado Estates,"$9,495,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '5', 'Baths': '7', 'Sq.Ft.': '6,800'}",22803 N Via Ventosa Drive Canyon Heights,"$9,300,000"
Keller Williams Integrity First,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,617'}",1303 E Copper Hollow Encanterra Cc,"$899,000"
Mco Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,617'}",36890 N Stoneware Drive Encanterra,"$875,000"
Network Realty,"{'Beds': '8', 'Baths': '5', 'Sq.Ft.': '5,100'}",XXXX E Country Meadows Court Picket Post,"$2,998,359"
Homesmart,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '5,864'}",10134 E Cavedale Drive Estancia Phase 5,"$9,000,000"
Keller Williams Arizona Realty,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,505'}",34352 N Tanglewood Pass Borgata - Unit 1A,"$862,705"
The Agency,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,411'}",1645 E Alegria Road Encanterra Shea Homes At Johnson Farms Neighborhood 2,"$849,900"
Home Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,411'}",16641 W Loma Verde Trail Sun City Grand Rincon,"$1,100,000"
Keller Williams Realty East Valley,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,205'}",46 W Verde Lane Duskfire,"$850,000"
The Agency,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,579'}",106 E Orange Blossom Path Encanterra Shea Homes At Johnson Farms Neighborhood 5A 201504,"$814,900"
Hague Partners,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '5,024'}",427 W Palomino Court Johnson Ranch Unit 52B,"$800,000"
Realty One Group,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,064'}",15639 W Peak View Road Saguaro View,"$1,100,000"
Fathom Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,489'}",17278 W Wildwood Street Toll At Prasada Phase 1 Unit D - Sterling Grove,"$1,090,000"
Toll Brothers Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,229'}",17676 W Whitefish Drive Sterling Grove,"$999,995"
Exp Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,798'}",2617 S Forest Avenue Alameda Estates,"$834,999"
Desert Properties Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,308'}",194 W Sunburst Lane Alisanos 2Nd & 3Rd Amd,"$815,000"
Novus Realty Agency,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,021'}",15640 N Verde Street Surprise,"$999,990"
Morgan Taylor Realty,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,066'}",24424 N 157th Drive San Ysidro Acres,"$999,000"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,895'}",1337 E Northshore Drive Lakes Tract E,"$809,900"
Realty Executives,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '1,942'}",1044 E Driftwood Drive Lakes Tract G1,"$799,000"
Homesmart,"{'Beds': '4', 'Baths': '1 F 1 1/2', 'Sq.Ft.': '2,132'}",2032 E Pegasus Drive Tempe Royal Palms Unit 16,"$795,000"
Kenneth James Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,000'}",15313 W Desert Vista Trail N/A,"$997,000"
Toll Brothers Real Estate,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,730'}",17381 W Auburn Street Toll At Prasada Phase 2 Unit F & Unit C Amd,"$969,995"
Amax Real Estate And Managemen,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,755'}",16120 N 151st Avenue Chilsons Place,"$960,000"
West Usa Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,406'}",1915 E Citation Lane Tempe Royal Palms Unit 18 Amd,"$769,900"
Realty Executives,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,162'}",1132 W Larona Lane Sierra Tempe Unit 2,"$750,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,929'}",2629 S Country Club Way Santo Tomas,"$749,995"
West Usa Realty,"{'Beds': '6', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '5,313'}",19912 E Natalie Way Whitewing At Whisper Ranch,"$2,750,000"
Keller Williams Arizona Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,564'}",14020 N 184th Avenue Waddell Haciendas Unit 1,"$939,850"
Home Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,668'}",15426 W Miramonte Court Sun City Grand Cholla Ridge,"$925,000"
Sterling Fine Properties,"{'Beds': '5', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,670'}",1506 E Northshore Drive Lakes Tract C1,"$749,880"
West Usa Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,769'}",1974 E Mcnair Drive Oasis At Anozira,"$739,900"
Realty Executives Arizona Territory,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,332'}",4761 W Hawthorn Road Trailhead At Torreon,"$949,900"
Realty One Group,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,706'}",20965 N Grand Staircase Drive Sun City Grand Escalante,"$920,000"
Platinum Realty Network,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,354'}",930 S Ash Avenue Sienna Court,"$735,000"
Long Realty Covey Luxury Properties,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,146'}",481 S Paintbrush Road Rendezvous Unit Two At Torreon,"$930,000"
Mountain Retreat Realty Expert,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,796'}",1620 N 36th Circle Country Club Manor Unit 2,"$905,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,751'}",30 Navajo Trail Highland Estates 1-2,"$2,695,000"
Long Realty Covey Luxury Properties,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,860'}",1700 S Snowberry Loop Homestead Unit 2 At Torreon,"$899,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,922'}",60 Pinon Shadows Circle Rim Shadows,"$2,695,000"
RE/MAX Sedona,"{'Beds': '4', 'Baths': '6', 'Sq.Ft.': '4,014'}",45 Russet Ridge Place Cross Creek Ranch,"$2,650,000"
Exp Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,138'}",2201 S Silver Oak Avenue Sierra Pines Unit 7,"$849,000"
Realty Executive Arizona Territory,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,088'}",1321 S Wolftail Lane Homestead Unit 1 At Torreon,"$848,500"
Exp Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,400'}",8371 Lake View Drive Eaglecrest,"$839,900"
Realty Executives,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,224'}",1026 E Park Ridge Drive Jordan Park Ridge,"$2,595,000"
RE/MAX Sedona,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,018'}",45 Shadow Rock Drive Shadow Rock,"$2,450,000"
Homesmart,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,784'}",19868 E Vallejo Street Whitewing At Whisper Ranch,"$2,400,000"
Long Realty Covey Luxury Properties,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,087'}",2321 W Edgewater Torreon Lakes Unit Ii,"$799,000"
Exp Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,261'}",1761 S Alder Leaf Lane Torreon Meadows,"$775,000"
Exp Realty,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,624'}",240 Casitas Court Under 5 Acres,"$2,350,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,879'}",302 Calle Linda Casa Contenta 1 & 2,"$2,100,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '4,179'}",227 Les Springs Drive Les Springs,"$1,750,000"
Realty Executives Arizona Territory,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,030'}",1461 W Snow Creek Trail Snow Creek Unit 2,"$749,000"
Long Realty Covey Luxury Properties,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,189'}",351 N Madrone Lane Trailhead At Torreon,"$739,900"
Exp Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,116'}",40 Pinewood Drive Oak Creek Knolls,"$1,700,000"
Hague Partners,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,491'}",3060 Thunder Mountain Road Thunder Mountain Ranch,"$1,650,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,751'}",6993 Angel Way Linden Unsub,"$699,500"
Homesmart,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,665'}",375 Shadow Rock Drive Shadow Rock,"$1,595,000"
Kenneth James Realty,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '2,814'}",85 Schuerman Drive Courthouse Butte Estates,"$1,560,000"
Realty One Group,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,758'}",28510 N Cibola Circle San Tan Ranches Unit 6,"$2,299,999"
Stratton Vantage Property Management,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,628'}",10803 W Dove Roost Road Santo Vallarta,"$2,200,000"
"Isham Real Estate Group, Llc","{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,898'}",19896 E Vallejo Street Whitewing At Whisper Ranch,"$2,190,000"
Homesmart Success,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,575'}",21640 S Hawes Road N/A,"$1,990,000"
Toll Brothers Real Estate,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,907'}",19952 E Melissa Place Whitewing At Whisper Ranch,"$1,949,995"
Realty One Group Mt Desert,"{'Beds': '2', 'Baths': '1 F 1 3/4 1 1/2', 'Sq.Ft.': '1,536'}",1406 Haisley Ct Haisley Homestead Townhouse Condominium,"$419,000"
Coldwell Banker Northland,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,019'}",2245 Skyline Dr Thumb Butte Estates,"$1,049,000"
Russ Lyon Sotheby's Internatio,"{'Beds': '4', 'Baths': '1 F 2 3/4 2 1/2', 'Sq.Ft.': '3,047'}",14720 N Agave Meadow Way Talking Rock Ranch Phase 9A,"$2,325,000"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '2 3/4', 'Sq.Ft.': '2,400'}",2517 Nolte Dr Park Terrace,"$549,900"
Realty Executives Az Territory,"{'Beds': '3', 'Baths': '1 F 1 3/4 1 1/2', 'Sq.Ft.': '2,331'}",6095 W Mira Rd Whispering Canyon,"$996,000"
Clear Choice Realty,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,914'}",1492 Forest View W Vantage Point At Forest Trails,"$949,000"
Better Homes And Gardens Real Estate Bloomtree Realty,"{'Beds': '3', 'Baths': '2 F 1 3/4', 'Sq.Ft.': '2,815'}",1567 Rycosa Ln Cliff Rose 3 Phase C,"$645,000"
Russ Lyon Sotheby's Internatio,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,960'}",1621 Addington Dr Prescott Lakes,"$599,000"
Realty One Group Mt Desert,"{'Beds': '2', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '2,086'}",8 Pinehurst Dr Wildwood Estates 4,"$749,000"
Realty One Group Mt Desert,"{'Beds': '2', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,811'}",1262 Crown Ridge Dr Willow Park Estates At Prescott Lakes,"$569,000"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,087'}",1020 E Pinon Oak Dr Pinon Oaks Unit 2B,"$649,900"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,413'}",1614 Addington Dr Pines At Prescott Lakes Phases 2 & 3,"$505,000"
RE/MAX Fine Properties,"{'Beds': '5', 'Baths': '8', 'Sq.Ft.': '13,972'}",8035 W Expedition Way Casa De Sunrise,"$5,775,000"
Century 21 Northwest,"{'Beds': '5', 'Baths': '7', 'Sq.Ft.': '6,063'}",24450 N 100th Lane Melton Ranch 1,"$3,799,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,483'}",30505 N Sage Drive Blackstone At Vistancia,"$3,200,000"
"Delex Realty, Llc 001","{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '1,613'}",7217 E Woolsey Ranch Rd Stoneridge 5,"$485,000"
Homesmart,"{'Beds': '4', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '5,606'}",30556 N Sage Drive Blackstone At Vistancia,"$2,925,000"
R E Lockman,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,577'}",4954 N Combs Ct Granville 13C,"$685,900"
RE/MAX Professionals,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,486'}",12071 W Palo Brea Lane Blackstone At Vistancia B2,"$2,800,000"
Russ Lyon Sotheby's Internatio,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,443'}",6758 E Arden Ct Granville 5,"$389,000"
Homesmart,"{'Beds': '6', 'Baths': '4', 'Sq.Ft.': '8,500'}",23523 N 79th Avenue Na,"$2,750,000"
R E Lockman,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '2,058'}",6244 E Shetland Way Granville 13C,"$587,900"
Engel & Voelkers Scottsdale,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,925'}",9762 W Jj Ranch Road Melton Ranch 2,"$2,699,000"
Prescott Real Estate Advisors,"{'Beds': '1', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '681'}",925 N Ponderosa Pine Dr Villages At Lynx Creek,"$219,500"
RE/MAX Professionals,"{'Beds': '5', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '5,250'}",8360 W Park View Court Summit At Sunrise Mountain,"$2,500,000"
Keller Williams Arizona Realty,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,200'}",6095 N Viewpoint Dr Prescott Valley Unit #17,"$340,000"
"W And Partners, Llc","{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,718'}",24295 N 99th Lane Melton Ranch 1,"$2,499,000"
Coldwell Banker Northland,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,257'}",8101 N Sunset Ridge Viewpoint North 15,"$635,000"
RE/MAX Fine Properties,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,391'}",22735 N 91st Drive Meadows Parcels 1 And 3 Phase 2,"$2,045,000"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,574'}",8543 N Sable Way Pronghorn Ranch 16,"$825,000"
Property For You Realty,"{'Beds': '12', 'Baths': '11', 'Sq.Ft.': '3,880'}",8952 W Melinda Lane Deer Village Unit 1,"$1,905,000"
Exp Realty- Prescott,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,820'}",9620 N Legend Hills Rd Legend Hills,"$980,000"
Epic Home Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,292'}",21906 N 86th Avenue Venado,"$1,899,999"
Homesmart Fine Homes And Land,"{'Beds': '3', 'Baths': '2 3/4', 'Sq.Ft.': '1,398'}",5274 N Western Blvd Prescott Valley 15,"$425,000"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,525'}",6351 E Boothwyn St Granville 6 Phase 1 & 2,"$524,900"
"Kooiman Realty, Llc","{'Beds': '2', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '888'}",2955 N Queen St Castle Canyon Mesa 2,"$165,000"
Sonoran Properties Associates,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,186'}",17552 E Desert Vista Trail Trilogy At Verde River,"$1,450,000"
Tonto Verde Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,110'}",27113 N Palo Fiero Road Tonto Verde Unit Three,"$1,399,000"
Tonto Verde Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,433'}",16810 E Roy Rogers Road Rio Verde Foot Hills,"$1,390,000"
Keller Williams Arizona Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,415'}",18245 E Massai Point Drive Verde River Phase 6 Unit 6A,"$1,380,069"
Realty One Group,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,618'}",19110 E Tonto Verde Drive Tonto Verde,"$1,349,900"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,090'}",27808 N Desierto Drive Tonto Verde Golf Club Community,"$1,300,000"
Prescott Luxury Realty & Investments,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,313'}",19013 E Reata Lane Rio Verde Unit Ten Lot 1176-1271 Tr A1-A6 B1 D-G,"$1,295,000"
Exp Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,186'}",17709 E Fort Verde Road Trilogy At Verde River,"$1,295,000"
Entera Realty Llc,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,555'}",18618 E Poco Rio Drive Rio Verde 6,"$1,250,000"
Turner International Real Estate,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,864'}",26607 N Avenida Del Ray Rio Verde Unit 6-A,"$1,200,000"
Homesmart,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,149'}",18942 E Mountainaire Drive Rio Verde Unit Twelve Lot 1404-1453,"$1,199,900"
Realty One Group,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,200'}",16912 E Desert Vista Trail Metes & Bounds,"$1,197,000"
"Levierealty,llc","{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,173'}",440 Paris Trl Trl Holiday Lake Estates,"$264,900"
Walt Danley Local Luxury Christie's International Real Estate,"{'Beds': '9', 'Baths': '9 F 1 1/2', 'Sq.Ft.': '8,504'}",4450 N 54th Street Royal Terrace Amd,"$10,000,000"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '1,879'}",1600 W Summer Trl Juniper Ridge,"$649,000"
Urban Luxe Real Estate,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '7,828'}",4743 N 54th Street Highlands,"$10,000,000"
"Levierealty,llc","{'Beds': '3', 'Baths': '1 F 1 3/4', 'Sq.Ft.': '1,386'}",405 Acapulco Way Holiday Lake Estates,"$309,000"
Homesmart,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,095'}",6836 N 36th Street Palm Canyon,"$8,950,000"
Homesmart Fine Homes And Land,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,944'}",1730 W Lucille Ln  ,"$350,000"
Realty One Group,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '7,610'}",5250 N 21st Street West Bartlett Estates Lot 9-24,"$8,250,000"
Realty One Group Mt Desert,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,755'}",24710 N San Francisco St Sunset Mobile Sites & Santa Fe Industrial Sites,"$312,000"
Berkshire Hathaway Homeservices Arizona Properties,"{'Beds': '4', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '7,100'}",4836 E White Gates Drive Red Rock,"$7,999,000"
Usa Real Estate & Prop Mgt Llc,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,729'}",24320 N Cleveland St Sunset Mobile Sites & Santa Fe Industrial Sites,"$247,900"
Homesmart,"{'Beds': '6', 'Baths': '7', 'Sq.Ft.': '6,508'}",5143 E Exeter Boulevard Del Ray Estates 6,"$7,950,000"
Desert North Realty,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,059'}",890 E Latigo Ct Rimrock,"$1,050,000"
North&co.,"{'Beds': '4', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '6,251'}",4931 E Calle Del Norte El Camello,"$7,250,000"
Better Homes And Gardens Real Estate Bloomtree Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,580'}",77 W Laxton Castle Way  ,"$375,000"
Cambridge Properties,"{'Beds': '6', 'Baths': '7 F 1 1/2', 'Sq.Ft.': '10,393'}",42 Biltmore Estates Drive Biltmore Estates,"$6,995,000"
Keller Williams Arizona Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,728'}",25690 N Burgundy Way Ravencrest,"$589,000"
Retsy,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,818'}",4220 N 57th Place Arcadia,"$6,975,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,152'}",25350 N Naples St  ,"$475,000"
Launch Powered By Compass,"{'Beds': '5', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '6,307'}",4550 N Rubicon Avenue Arcadia Replatted Lot 1 Ex Sly 357' & Ex Rd Cor P/Dkt 3267/550 Blk I,"$6,950,000"
Berkshire Hathaway Homeservices Prescott,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,493'}",05 N Sterling Way  ,"$339,000"
Walt Danley Local Luxury Christie's International Real Estate,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '5,992'}",5324 E Mariposa Street Royal Terrace Amd,"$6,000,000"
Irealty Professionals,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,513'}",3199 W Sandstone Dr S13 T18n R3w,"$275,000"
Realty One Group,"{'Beds': '4', 'Baths': '6', 'Sq.Ft.': '5,477'}",4650 E Palomino Road Camelback Sierra,"$5,999,888"
Realty One Group,"{'Beds': '13', 'Baths': '16', 'Sq.Ft.': '40,000'}",3627 E Bethany Home Road Palo Cristi Estates,"$75,000,000"
Walt Danley Local Luxury Christie's International Real Estate,"{'Beds': '6', 'Baths': '13 F 1 1/2', 'Sq.Ft.': '23,417'}",5738 N Casa Blanca Drive Town Of Paradise Valley,"$40,000,000"
"Bespoke Real Estate, Llc","{'Beds': '4', 'Baths': '7', 'Sq.Ft.': '7,989'}",4301 E Upper Ridge Way Paradise Valley,"$23,000,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '5', 'Baths': '11', 'Sq.Ft.': '16,809'}",8100 N 68th Street Camelback Country Club Estates,"$20,000,000"
Realty Executives Arizona Territory,"{'Beds': '7', 'Baths': '4', 'Sq.Ft.': '5,148'}",2097 N Fsr 289 Tonto Creek Estates,"$4,200,000"
Silverleaf Realty,"{'Beds': '6', 'Baths': '8', 'Sq.Ft.': '10,676'}","7835 N Ironwood Drive Mummy Mt Park Lots 32-40, 74-91 & Tr A","$19,950,000"
Realty Executives,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '4,720'}",3111 E Indian Ruin The Rim Golf Club,"$2,499,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '7', 'Baths': '13', 'Sq.Ft.': '17,701'}",7046 N 59th Place Club Estates,"$17,950,000"
